Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: CTSD; id: 1509;	116840	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""1773981_1785222""}"	Ceroid lipofuscinosis, neuronal, 10	610127	AR	NEUROLOGIC	Microcephaly and hyperplexia.. Prenatal and Neonatal demise.	M,F	Emerging	34645488				x
name: CTU2; id: 348180;	617057	Maternal,Fetal	SNV	LoF	"{""id"":""chr16"",""data"":""88772870_88781804""}"	Microcephaly, renal agenesis	618142	AR	MULTIPLE >3	VSD, kidney malformation, abnormal limb posture, cerebellar hypoplasia, hypertelorism, severe IUGR. Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: CXCR4; id: 7852;	162643	Fetal	SNV		"{""id"":""chr2"",""data"":""136,871,919-136,875,719""}"	Myelokathexis, isolated (3), WHIM syndrome, 193670 (3), Autosomal dominant	193670	AD	MULTIPLE >3		M,F	Known	30993004; 15536153				x
name: CYP11B1; id: 1584;	610613	Fetal	SNV		"{""id"":""chr8"",""data"":""143,953,773-143,961,241""}"	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	202010	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	1430088; 30993004				x
name: CYP11B2; id: 1585;	124080	Fetal	SNV		"{""id"":""chr8"",""data"":""143,991,975-143,999,259""}"	Aldosterone to renin ratio raised (3), Hypoaldosteronism, congenital, due to CMO I deficiency, 203400 (3), Autosomal recessive, Hypoaldosteronism, congenital, due to CMO II deficiency, 610600 (3), Autosomal recessive	203400; 610600	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 14250395				x
name: CYP21A2; id: 1589;	613815	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""32006041_32009447""}"	Adrenal hyperplasia, congenital	201910	AR		Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: CYP26B1; id: 56603;	605207	Fetal	SNV		"{""id"":""chr2"",""data"":""72,356,367-72,374,991""}"	Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies, 614416 (3)	614416	AR	SKELETAL		M,F	Known	30993004; 37755482; 37100236		x	x	x
name: CYP27A1; id: 1593;	606530	Maternal,Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""219,646,870-219,680,016""}"	Cerebrotendinous xanthomatosis, 213700 (3), Autosomal recessive	213700	AR	MULTIPLE >3		M,F	Known	30993004; 23673909		x	x	x
name: CYP7B1; id: 9420;	603711	Fetal	SNV	LoF	"{""id"":""chr8"",""data"":""65,499,132-65,711,294""}"	Bile acid synthesis defect, congenital	613812	AR	METABOLIC		M,F	Known	30993004; 9802883				x
name: D2HGDH; id: 728294;	609186	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""242,674,045-242,708,226""}"	D-2-hydroxyglutaric aciduria	600721	AR	NEUROLOGIC, CARDIOVASCULAR		M,F	Known	11999977; 30993004				x
name: DAG1; id: 1605;	128239	Fetal	SNV		"{""id"":""chr3"",""data"":""49,506,381-49,573,048""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A	616538	AR	MUSCULAR		M,F	Known	30993004; 25934851				x
name: DAZAP1; id: 26528;	607430	Unknown	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""1,407,585-1,435,683""}"					Spontaneous miscarriage	unknown	Candidate	37398382		x	x	
name: DBT; id: 1629;	248610	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""100,652,475-100,715,390""}"	Maple syrup urine disease, type II, 248600 (3), Autosomal recessive	248600	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 8132258				x
name: DCHS1; id: 8642;	603057	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""6642555_6677085""}"	Van Maldergem syndrome 1	601390	AR	CARDIOVASCULAR	cardiac defects, anophthalmia. Prenatal and Neonatal demise.	M,F	Emerging	33100332	x	x	x	
name: DDR2; id: 4921;	191311	Fetal	SNV		"{""id"":""chr1"",""data"":""162,600,653-162,757,195""}"	Spondylometaepiphyseal dysplasia, short limb-hand type, 271665 (3), Autosomal recessive	271665	AR	MULTIPLE >3		M,F	Known	30993004; 8465857; 19050401				x
name: DEPDC5; id: 9681;	614191	Fetal	SNV	Undetermined	"{""id"":""chr22"",""data"":""32149852_32304019""}"	sudden unexpected death in epilepsy (SUDEP)	604364	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	31865891			x	x
name: DGUOK; id: 1716;	601465	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""74,154,007-74,186,073""}"	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type), 251880 (3), Autosomal recessive	251880	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 6314875; 8394647; 9175742; 10393838				x
name: DHCR24; id: 1718;	606418	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""55315299_55352891""}"	Desmosterolosis	602398	AR	NEUROLOGIC	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564		x	x	x
name: DHCR7; id: 1717;	602858	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""71139238_71163914""}"	Smith-Lemli-Opitz syndrome	270400	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Known	37301908				x
name: DHDDS; id: 79947;	608172	Unknown	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""26,758,812-26,797,797""}"	Congenital disorder of glycosylation, type 1bb	613861	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30740408				x
name: DHFR; id: 1719;	126060	Fetal	SNV		"{""id"":""chr5"",""data"":""79,922,045-79,950,802""}"	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	613839	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 21310276				x
name: DIS3L2; id: 129563;	614184	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""232,826,423-233,209,060""}"	Perlman syndrome	267000	AR	MULTIPLE >3	Fetal ascites, Polyhydramnios, Diaphragmatic hernia, overgrowth 	M,F	Known	6093533; 10508986				x
name: DKC1; id: 1736;	300126	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""153,991,139-154,005,964""}"	Dyskeratosis congenita, X-linked, 305000 (3), X-linked recessive	305000	XLR	MULTIPLE >3		M	Known	30993004; 5442429				x
name: DLAT; id: 1737;	608770	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""111895537_111935128""}"	Pyruvate dehydrogenase E2 deficiency.	245348	AR	MULTIPLE >3	Agenesis of corpus callosum, strawberry head, hypoplastic cerebellum, cleft hand and finger, polydactyly, and short skeleton.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: DLD; id: 1738;	238331	Unknown	CNV,SNV	Undetermined	"{""id"":""chr7"",""data"":""107,891,107-107,921,198""}"	Dihydrolipoamide dehydrogenase deficiency	246900	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	14765544	x			
name: DLL3; id: 10683;	602768	Fetal	SNV		"{""id"":""chr19"",""data"":""39,989,587-39,999,109""}"	Spondylocostal dysostosis 1, autosomal recessive, 277300 (3), Autosomal recessive	277300	AR	SKELETAL		M,F	Known	30993004; 5953839; 7100875				x
name: DNAH11; id: 8701;	603339	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""21582656_21941457""}"	Ciliary dyskinesia	611884	AR	CARDIOVASCULAR	cardiac defects. Prenatal and Neonatal demise.	M,F	Emerging	32172300	x	x	x	
name: DNAH14; id: 127602;	603341	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""225083963_225586996""}"					Prenatal and Neonatal demise.	M,F	Emerging	26036949		x	x	
name: DNAH5; id: 1767;	603335	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""13690437_13944652""}"	Primary ciliary dysinesia (PCD)	608644	AR	CARDIOVASCULAR	atrial ventricular channel, double outlet right ventricle, aortic valve atresia, pulmonary hypoplasia. Prenatal and Neonatal demise.	M,F	Known	30293990	x	x	x	
name: DNAH9; id: 1770;	603330	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""11501747_11873065""}"	Primary ciliary dyskinesia	618300	AR	CILIOPATHIC	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564				x
name: DNAI1; id: 27019;	604366	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""34,458,803-34,520,982""}"	Ciliary dyskinesia, primary, 1, with or without situs inversus, 244400 (3), Autosomal recessive	244400	AR	MULTIPLE >3		M,F	Known	30993004; 3498050; 1735997				x
name: DNAJC19; id: 131118;	608977	Fetal	SNV		"{""id"":""chr3"",""data"":""180,701,497-180,707,626""}"	3-methylglutaconic aciduria, type V, 610198 (3), Autosomal recessive	610198	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 16055927; 22797137; 34580891				x
name: DNHD1; id: 144132;	617277	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""6518489_6614988""}"	Ciliary dyskinesia	619712	AR		Hypoplastic left heart, persisting left cardinal and vena cava with estuary in the left atrium, atrial septum defect type II, fused lung lobes, absent extrahepatic bile ducts, intestinal stenosis and pouch. Prenatal and Neonatal demise.	M,F	Emerging	30679815	x	x	x	
name: DNM1L; id: 10059;	603850	Fetal	SNV		"{""id"":""chr12"",""data"":""32,832,235-32,898,584""}"	Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1, 614388 (3), Autosomal recessive, Autosomal dominant, Optic atrophy 5, 610708 (3), Autosomal dominant	614388	AD,AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 17460227; 31587467				x
name: DNM2; id: 1785;	602378	Fetal	SNV		"{""id"":""chr19"",""data"":""10,828,755-10,942,579""}"	Lethal congenital contracture syndrome	615368	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 23092955			x	x
name: DNMT3B; id: 1789;	602900	Unknown	CNV,SNV	Undetermined	"{""id"":""chr20"",""data"":""32,762,385-32,809,356""}"	Facioscapulohumeral muscular dystrophy 4, digenic; Immunodeficiency-centromeric instability-facial anomalies syndrome	619478; 242860	AR,Digenic dominant	NEUROMUSCULAR	Spontaneous miscarriage	unknown	Candidate	37398382		x	x	x
name: DOLK; id: 22845;	610746	Fetal	SNV		"{""id"":""chr9"",""data"":""131,707,809-131,709,882""}"	Congenital disorder of glycosylation, type Im, 610768 (3), Autosomal recessive	610768	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 17273964;  22242004; 30653653; 28139241				x
name: DONSON; id: 29980;	611428	Fetal	SNV	LoF	"{""id"":""chr21"",""data"":""34931847_34961014""}"	Microcephaly, short stature, and limb abnormalities	251230	AR		abnormal upper and lower limb, micrognathia, low-set ears, and short neck.. Prenatal and Neonatal demise.	M,F	Emerging	34645488	x			
name: DPAGT1; id: 1798;	191350	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""118,967,220-118,972,563""}"	Congenital disorder of glycosylation, type Ij, 608093 (3), Autosomal recessive	608093	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 28139241; 38917675	x			
name: DPM2; id: 8818;	603564	Fetal	SNV		"{""id"":""chr9"",""data"":""130,697,378-130,700,133""}"	Congenital disorder of glycosylation, type Iu, 615042 (3), Autosomal recessive	615042	AR	MULTIPLE >3		M,F	Known	30993004; 23109149				x
name: DPYD; id: 1806;	612779	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""97,543,299-98,386,615""}"	Dihydropyrimidine dehydrogenase deficiency, 274270 (3), Autosomal recessive, 5-fluorouracil toxicity, 274270 (3), Autosomal recessive	274270	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 9254861; 15303009				x
name: DSCAM; id: 1826;	602523	Unknown	CNV,SNV	Undetermined	"{""id"":""chr21"",""data"":""41,382,926-42,219,084""}"				METABOLIC	Spontaneous miscarriage	unknown	Candidate	37398382			x	x
name: DSG2; id: 1829;	125671	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr18"",""data"":""29078005_29128971""}"	arrythmogenic right ventricular cardiomyopathy, dilated cardiomyopathy	610193; 612877	AD,AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593	x	x	x	x
name: DSP; id: 1832;	125647	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""7541807_7586950""}"	arrhythmogenic right ventricular cardiomyopathy	607450	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593	x			
name: DSTYK; id: 25778;	612666	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""205111631_205180830""}"	Congenital anomalies of kidney and urinary tract 1, 610805 (3), Autosomal dominant, Spastic paraplegia 23, 270750 (3), Autosomal recessive	610805	AD	MULTIPLE >3	tetralogy of Fallot, esophageal atresia. Prenatal and Neonatal demise.	M,F	Emerging	29261186	x	x	x	
name: DYNC2H1; id: 79659;	603297	Fetal	SNV	LoF	"{""id"":""chr11"",""data"":""102980138_103350591""}"	Short-rib thoracic dysplasia 3 with or without polydactyly	613091	AR,Digenic recessive	SKELETAL	Hydrops. Prenatal and Neonatal demise.	M,F	Known	31273585; 24961629	x	x	x	
name: DYNC2I1; id: 55112;	615462	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""158,649,269-158,738,883""}"	Short-rib thoracic dysplasia 8 with or without polydactyly, 615503 (3), Autosomal recessive	615503	AR	SKELETAL		M,F	Known	30993004; 23910462				x
name: DYNC2I2; id: 89891;	613363	Fetal	SNV	Undetermined	"{""id"":""chr9"",""data"":""131,395,940-131,419,129""}"	Short-rib thoracic dysplasia 11 with or without polydactyly, 615633 (3), Autosomal recessive	615633	AR	SKELETAL		M,F	Known	24183449; 30993004				x
name: DYNC2LI1; id: 51626;	617083	Fetal	SNV		"{""id"":""chr2"",""data"":""44,001,178-44,055,486""}"	Short-rib thoracic dysplasia 15 with polydactyly, 617088 (3), Autosomal recessive	617088	AR	SKELETAL	polyhydramnios, narrow thorax, postaxial hexadactyly	M,F	Known	30993004; 26130459; 28857138		x	x	x
name: EARS2; id: 124454;	612799	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""23,532,075-23,568,696""}"	Combined oxidative phosphorylation deficiency 12, 614924 (3), Autosomal recessive	614924	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 23008233				x
name: EBP; id: 10682;	300205	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""48379545_48387104""}"	X-linked Chondrodysplasia punctata 2 (CDPX2)/Conradi-Hunermann-Happle (CHH) syndrome	302960	XLD	SKELETAL	skeletal dysplasia. Prenatal and Neonatal demise.	M,F	Known	20949533; 11038443; 10391219		x	x	
name: ECEL1; id: 9427;	605896	Fetal	SNV		"{""id"":""chr2"",""data"":""233,344,537-233,352,544""}"	Arthrogryposis, distal, type 5D, 615065 (3), Autosomal recessive	615065	AR	SKELETAL		M,F	Known	30993004; 23261301				x
name: ECHS1; id: 1892;	602292	Fetal	SNV	LoF	"{""id"":""chr10"",""data"":""135175983_135187193""}"	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	616277	AR	METABOLIC	IUGR, oligohydramnios.. Prenatal and Neonatal demise.	M,F	Emerging	34645488; 33574353		x	x	
name: EDA; id: 1896;	300451	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""68,835,957-69,259,322""}"	Ectodermal dysplasia 1, hypohidrotic, X-linked	305100	XLR	MULTIPLE >3		M	Known	30993004; 865470; 7446529; 13913306; 				x
name: EDN3; id: 1908;	131242	Fetal	SNV		"{""id"":""chr20"",""data"":""57,875,666-57,901,047""}"	Central hypoventilation syndrome, congenital, 209880 (3), Autosomal dominant, Waardenburg syndrome, type 4B, 613265 (3), Autosomal recessive, Autosomal dominant	209880	AD	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	30993004; 20583152				x
name: EDNRB; id: 1910;	131244	Fetal	CNV,SNV	LoF	"{""id"":""chr13"",""data"":""78,469,616-78,549,662""}"	ABCD syndrome, 600501 (3), Autosomal recessive, Waardenburg syndrome, type 4A, 277580 (3), Autosomal recessive, Autosomal dominant	600501; 277580	AD,AR	MULTIPLE >3		M,F	Known	30993004; 7264803; 11773966				x
name: EFEMP2; id: 30008;	604633	Fetal	SNV		"{""id"":""chr11"",""data"":""65,633,912-65,640,271""}"	Cutis laxa, autosomal recessive, type IB, 614437 (3), Autosomal recessive	614437	AR	NEUROMUSCULAR		M,F	Known	30993004; 17937443; 19664000; 22943132				x
name: EIF2AK3; id: 9451;	604032	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""88,856,259-88,926,982""}"	Wolcott-Rallison syndrome, 226980 (3), Autosomal recessive	226980	AR	SKELETAL		M,F	Known	30993004; 7551159; 16813601				x
name: EIF2B2 ; id: 8892;	606454	Fetal	CNV,SNV	Undetermined	"{""id"":""chr14"",""data"":""75469613_75479069""}"	Leukoencephalopathy with vanishing white matter 	603896	AR	NEUROLOGIC	Hypoplasia of the corpus callosum, Hypoplasia of the brainstem, Abnormal globus pallidus morphology, Cerebellar hypoplasia, Abnormality of the caudate nucleus, Subependymal cysts, Cavum septum pellucidum, Pachygyria, Contractures of the large joints, Abnormal facial shape. Prenatal and Neonatal demise.	M,F	Emerging	36658419; 14566705			x	x
name: EIF2B5; id: 8893;	603945	Fetal	SNV		"{""id"":""chr3"",""data"":""183,853,146-183,863,099""}"	Leukoencephalopathy with vanishing white matter, 603896 (3), Autosomal recessive, Ovarioleukodystrophy, 603896 (3), Autosomal recessive	603896	AR	NEUROLOGIC		M,F	Known	30993004; 12325082; 11704758; 3239951				x
name: ELAC2; id: 60528;	605367	Fetal	SNV		"{""id"":""chr17"",""data"":""12,894,929-12,921,344""}"	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive	615440	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 23849775				x
name: ELAVL3; id: 1995;	603458	Unknown	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""11,451,326-11,481,046""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: ELOVL4; id: 6785;	605512	Fetal	SNV		"{""id"":""chr6"",""data"":""80,624,531-80,657,270""}"	Ichthyosis, spastic quadriplegia, and mental retardation	614457	AR	NEUROLOGIC		M,F	Known	30993004; 22100072				x
name: EMG1; id: 10436;	611531	Fetal	SNV		"{""id"":""chr12"",""data"":""7,080,076-7,105,520""}"	Bowen-Conradi syndrome	211180	AR	MULTIPLE >3		M,F	Known	484596				x
name: EML1; id: 2009;	602033	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""100204029_100408397""}"	Band heterotopia	600348	AR		Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: ENPP1; id: 5167;	173335	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""132,129,160-132,216,295""}"	Arterial calcification, generalized, of infancy	208000	AR	CARDIOVASCULAR		M,F	Known	30993004; 2118367; 31444901; 15940697; 19206175				x
name: EOGT; id: 285203;	614789	Fetal	SNV	LoF	"{""id"":""chr3"",""data"":""69024364_69063112""}"	Adams-Oliver syndrome 4	615297	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Emerging	32786180		x	x	
name: EP300; id: 2033;	602700	Fetal	CNV,SNV	Undetermined	"{""id"":""chr22"",""data"":""41487789_41576081""}"		613684	AD	MULTIPLE >3	 IUGR, broad halluces, sacral spina bifida, postaxial polydacytly of left foot. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: EP400; id: 57634;	606265	Unknown	CNV,SNV	Undetermined	"{""id"":""chr12"",""data"":""131,949,942-132,080,460""}"					Spontaneous miscarriage	unknown	Candidate	37398382		x	x	
name: EPAS1; id: 2034;	603349	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""46520805_46613836""}"	Erythrocytosis, familial	611783	AD	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Candidate	31273585	x			
name: EPB41; id: 2035;	130500	Fetal	SNV		"{""id"":""chr1"",""data"":""29,213,612-29,446,553""}"	Elliptocytosis-1, 611804 (3)	611804	AD,AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 5731934				x
name: EPCAM; id: 4072;	185535	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""47,596,450-47,614,159""}"	Diarrhea 5, with tufting enteropathy, congenital	613217	AR	GASTROINTESTINAL		M,F	Known	100367; 7636644				x
name: EPG5; id: 57724;	615068	Fetal	SNV	LoF	"{""id"":""chr18"",""data"":""43,427,574-43,547,295""}"	Vici syndrome	242840	AR	MULTIPLE >3	Hypoplastic left ventricle, agenesis of the corpus callosum, cerebellar hypoplasia 	M,F	Known	3344762; 23222957; 11932994; 20186778; 38182173				x
name: ERBB3; id: 2065;	190151	Fetal	SNV		"{""id"":""chr12"",""data"":""56,473,892-56,497,289""}"	Lethal congenital contractural syndrome 2, 607598 (3), Autosomal recessive	607598	AR	MULTIPLE >3	Decreased fetal movement, Polyhydramnios, cardiac defects, enlarged urinary bladder 	M,F	Known	12548738; 40321344				x
name: ERCC1; id: 2067;	126380	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""45,910,592-45,954,805""}"	Cerebrooculofacioskeletal syndrome 4, 610758 (3), Autosomal recessive	610758	AR	MULTIPLE >3		M,F	Known	30993004; 23623389;				x
name: ERCC2; id: 2068;	126340	Fetal	SNV	LoF	"{""id"":""chr19"",""data"":""45853094_45874176""}"	Trichothiodystrophy 1, photosensitive, 601675 (3), Autosomal recessive	601675	AR	NEUROLOGIC	Sever intrauterine growth restriction. Prenatal and Neonatal demise.	M,F	Emerging	34645488	x			
name: ERCC5; id: 2073;	133530	Fetal	CNV,SNV	LoF	"{""id"":""chr13"",""data"":""103459495_103528351""}"	Cerebrooculofacioskeletal syndrome 3	616570	AR	MULTIPLE >3	Dandy walker malformation, micrognathia, right sided pleural effusion, thick edematous skin, bilateral rocker bottom feet, clenched hands, polyhydramnios, arthrogryposis like deformity, fetal akinesia deformation sequence, pulmonary hypoplasia, hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	34645488				x
name: ETFA; id: 2108;	608053	Fetal	SNV	LoF	"{""id"":""chr15"",""data"":""76507693_76603813""}"	Glutaric acidemia IIA	231680	AR	MULTIPLE >3	Bilateral echogenic kidneys, pericardial effusion, hydrocephalus, and small chest.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: ETFB; id: 2109;	130410	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""51,848,409-51,869,642""}"	Glutaric acidemia IIB, 231680 (3), Autosomal recessive	231680	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 6862997; 3754423				x 
name: ETFDH; id: 2110;	231675	Unknown	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""158,672,296-158,709,623""}"	Glutaric acidemia IIC	231680	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	3754423; 40075430	x	x	x	x
name: ETHE1; id: 23474;	608451	Fetal	SNV		"{""id"":""chr19"",""data"":""44,010,871-44,031,353""}"	Ethylmalonic encephalopathy, 602473 (3), Autosomal recessive	602473	AR	NEUROLOGIC		M,F	Known	30993004; 20528888				x
name: EVC; id: 2121;	604831	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""5712923_5830772""}"	Ellis-van Creveld syndrome ( EVC).	193530	AD		Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: EVC2; id: 132884;	607261	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""5544498_5711275""}"	Ellis-van Creveld syndrome.	225500	AR	MULTIPLE >3	Potter-like face, sloping forehead, hypertelorism, low set ears, occipital encephalocele, polycystic kidneys, and polydactyly.. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: EXOC3L2; id: 90332;	616927	Fetal	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""45715634_45748689""}"	Brain malformation renal syndrome	620943	AR	MULTIPLE >3	Dandy-Walker malformation, polycystic kidneys, and anhydramnios.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: EXOSC3; id: 51010;	606489	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""37,779,711-37,785,089""}"	Pontocerebellar hypoplasia, type 1B, 614678 (3), Autosomal recessive	614678	AR	NEUROLOGIC		M,F	Known	30993004; 11020648; 12731647; 12548734; 23883322				x
name: EXOSC8; id: 11340;	606019	Fetal	SNV		"{""id"":""chr13"",""data"":""37,574,923-37,583,751""}"	Pontocerebellar hypoplasia, type 1C, 616081 (3), Autosomal recessive	616081	AR	NEUROLOGIC		M,F	Known	30993004; 24989451				x
name: EXTL3; id: 2137;	605744	Fetal	SNV		"{""id"":""chr8"",""data"":""28,559,018-28,613,116""}"	Immunoskeletal dysplasia with neurodevelopmental abnormalities, 617425 (3), Autosomal recessive	617425	AR	MULTIPLE >3		M,F	Known	30993004; 28132690; 38010033			x	x
name: EYA1; id: 2138;	601653	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""72,109,668-72,460,329""}"	Anterior segment anomalies with or without cataract, 602588 (3), Autosomal dominant, Branchiootic syndrome 1, 602588 (3), Autosomal dominant, Branchiootorenal syndrome 1, with or without cataracts, 113650 (3), Autosomal dominant	113650	AD	MULTIPLE >3		M,F	Known	30993004; 1248162; 1415348				x
name: F10; id: 2159;	613872	Fetal	CNV,SNV	LoF	"{""id"":""chr13"",""data"":""113,777,113-113,803,843""}"	Factor X deficiency, 227600 (3), Autosomal recessive	227600	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 192155; 8192155			x	x
name: F11; id: 2160;	264900	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""187187098_187210835""}"	Factor XI deficiency	612416	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Emerging	33100332		x	x	
name: F13A1; id: 2162;	134570	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""6,144,317-6,320,895""}"	Factor XIIIA deficiency, 613225 (3), Autosomal recessive	613225	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 12100162				x
name: F2; id: 2147;	176930	Maternal	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""46,719,213-46,739,506""}"	Dysprothrombinemia; Hypoprothrombinemia; Thrombophilia; Pregnancy loss, recurrent	614390	AD,AR	HEMATOPOETIC	Spontaneous miscarriage	unknown	Candidate	37398382		x	x	
name: F5; id: 2153;	612309	Maternal	SNV	LoF	"{""id"":""chr1"",""data"":""169,481,192-169,555,769""}"	Pregnancy loss,recurrent, susceptibility	614389	AD	PLACENTAL	Prenatal and Neonatal demise.	M,F	Known	16905025		x	x	
name: F7; id: 2155;	613878	Maternal,Fetal	CNV,SNV	LoF	"{""id"":""chr13"",""data"":""113,105,788-113,120,685""}"	Factor VII deficiency; Myocardial infarction	608446; 227500	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Known	9680360; 36073900		x	x	x
